arousal,valence,dominance
0.269678,0.2001116,-0.15662757
0.2486376,0.20030977,-0.13491358
0.21730386,0.19531465,-0.11117158
0.18369168,0.18705143,-0.0900085
0.15233204,0.17693882,-0.072696276
0.12409332,0.16563773,-0.05862664
0.1001707,0.15448695,-0.048313074
0.079760686,0.14504534,-0.039270215
0.06325459,0.13708833,-0.032230727
0.049435414,0.1314528,-0.024823798
0.037790287,0.12731807,-0.017476916
0.028140938,0.12574638,-0.0098654125
0.042426143,0.12178768,-0.0045060855
0.06466058,0.12404519,-0.0056937207
0.08568236,0.12531832,-0.021199185
0.09253823,0.123462096,-0.011796126
0.084708035,0.11286429,0.0077049853
0.07394201,0.08481401,0.029505141
0.06474782,0.053467706,0.041635454
0.05308158,0.045646273,0.042454585
0.05149928,0.06393306,0.04339628
0.06928075,0.08020465,0.03132814
0.09940491,0.07960231,0.00992263
0.10831405,0.07696582,-0.0059249643
0.100949414,0.07279809,-0.01661872
0.08484185,0.06765635,-0.025904326
0.062078938,0.05993622,-0.03571322
0.053732414,0.051003598,-0.052300315
0.05952785,0.055403404,-0.07049057
0.061634842,0.06280278,-0.08309757
0.05717393,0.07469732,-0.0975884
0.054150097,0.0850051,-0.1152994
0.057513528,0.089311406,-0.10471215
0.054861166,0.09022298,-0.087549664
0.049569257,0.088275455,-0.06819718
0.043468237,0.08323119,-0.049269356
0.03753319,0.07437902,-0.031554647
0.027748475,0.06295836,-0.015255288
0.034257293,0.04389822,0.0035508843
0.050217018,0.030182471,0.014492007
0.06574032,0.026474541,0.01550838
0.074193016,0.026409008,0.010108002
0.07332133,0.026182037,-0.00380095
0.08844072,0.017958494,-0.020120803
0.09826116,0.017368006,-0.039729156
0.10251632,0.026311602,-0.046576906
0.09520207,0.036548823,-0.036896206
0.08002691,0.043118656,-0.018478107
0.05945276,0.044350646,0.008173906
0.059467115,0.023997404,0.042128682
0.085479796,0.018603547,0.053307377
0.1128295,0.028680108,0.0542724
0.14048398,0.043573134,0.039786503
0.13912681,0.060085386,0.023481473
0.12555139,0.06950393,0.017680708
0.10694176,0.074370876,0.016036062
